time (us),GPS_fixType,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),GPS_ground_course,GPS_hdop,GPS_eph,GPS_epv,GPS_velned[0],GPS_velned[1],GPS_velned[2],GPS_home_lat,GPS_home_lon
33426417,2,15,32.1625944,34.9446037,60,0.03,333.7,159,158,250,0,-3,-4,32.1625941,34.9446039
33434213,2,15,32.1625944,34.9446037,60,0.03,333.7,159,158,250,0,-3,-4,32.1625941,34.9446039
33602453,2,14,32.1625945,34.9446035,60,0.08,333.7,159,157,249,-5,-6,-8,32.1625941,34.9446039
33743721,2,15,32.1625945,34.9446034,60,0.08,333.7,159,156,247,-8,1,-9,32.1625941,34.9446039
33945297,2,14,32.1625945,34.9446033,60,0.07,333.7,159,156,246,0,-7,9,32.1625941,34.9446039
34146550,2,15,32.1625945,34.9446032,60,0.05,333.7,159,155,245,4,-2,2,32.1625941,34.9446039
34348228,2,15,32.1625946,34.9446032,60,0.09,333.7,159,154,244,-1,9,9,32.1625941,34.9446039
34589908,2,14,32.1625946,34.9446034,60,0.12,333.7,159,153,243,-4,11,10,32.1625941,34.9446039
34751045,2,14,32.1625948,34.9446035,60,0.10,333.7,159,153,242,10,0,5,32.1625941,34.9446039
34972446,2,14,32.1625951,34.9446034,60,0.06,333.7,159,152,241,4,-4,1,32.1625941,34.9446039
35153638,2,15,32.1625952,34.9446034,60,0.00,333.7,159,151,240,0,0,6,32.1625941,34.9446039
35355592,2,15,32.1625953,34.9446034,60,0.02,333.7,159,151,239,0,2,-7,32.1625941,34.9446039
35560971,2,15,32.1625953,34.9446034,60,0.02,333.7,159,151,239,0,2,-7,32.1625941,34.9446039
35598981,2,14,32.1625954,34.9446035,60,0.03,333.7,159,150,238,-3,0,3,32.1625941,34.9446039
35760234,2,14,32.1625955,34.9446034,60,0.06,333.7,159,149,237,5,-3,-1,32.1625941,34.9446039
35961783,2,14,32.1625958,34.9446033,60,0.09,333.7,159,149,236,5,-7,7,32.1625941,34.9446039
36142788,2,15,32.1625958,34.9446032,60,0.05,333.7,167,148,235,0,5,-2,32.1625941,34.9446039
36343534,2,15,32.1625959,34.9446032,60,0.06,333.7,159,147,234,4,-4,0,32.1625941,34.9446039
36604986,2,14,32.1625960,34.9446031,60,0.06,333.7,159,147,233,0,-6,-8,32.1625941,34.9446039
36746134,2,14,32.1625959,34.9446029,60,0.02,333.7,167,146,232,-2,-2,15,32.1625941,34.9446039
36948926,2,15,32.1625958,34.9446030,60,0.02,333.7,159,146,231,0,2,-2,32.1625941,34.9446039
37149769,2,14,32.1625959,34.9446029,60,0.07,333.7,167,145,230,2,-6,4,32.1625941,34.9446039
37351073,2,15,32.1625958,34.9446027,60,0.03,333.7,167,145,229,3,0,8,32.1625941,34.9446039
37571702,2,15,32.1625957,34.9446027,60,0.07,333.7,164,144,228,-6,3,1,32.1625941,34.9446039
37687029,2,15,32.1625957,34.9446027,60,0.07,333.7,164,144,228,-6,3,1,32.1625941,34.9446039
37753540,2,16,32.1625957,34.9446028,60,0.07,333.7,156,143,227,5,5,-5,32.1625941,34.9446039
37955437,2,15,32.1625957,34.9446027,60,0.09,333.7,164,143,226,4,-7,-27,32.1625941,34.9446039
38156917,2,14,32.1625958,34.9446024,60,0.26,326.4,164,142,225,20,-16,-84,32.1625941,34.9446039
38358922,2,15,32.1625960,34.9446017,60,0.42,282.3,159,142,225,-5,-42,-117,32.1625941,34.9446039
38619412,2,14,32.1625961,34.9446007,60,0.40,280.2,167,141,224,5,-40,-127,32.1625941,34.9446039
38760053,2,16,32.1625965,34.9445996,61,0.68,289.9,167,141,223,28,-61,-135,32.1625941,34.9446039
38960776,2,16,32.1625971,34.9445972,61,0.63,282.6,149,140,222,4,-63,-145,32.1625941,34.9446039
39161972,2,16,32.1625979,34.9445950,61,0.55,285.8,140,139,220,19,-52,-152,32.1625941,34.9446039
39363491,2,16,32.1625989,34.9445931,61,0.62,301.1,140,139,219,44,-43,-171,32.1625941,34.9446039
